City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Huarmey,PE,71.46,overcast clouds,-10.0681,-78.1522,Hotel Miramar
2,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
7,Nova Olinda Do Norte,BR,73.71,scattered clouds,-3.8881,-59.0942,Casa Juazeiro
8,Kang,BW,71.76,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
9,Caravelas,BR,73.4,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
10,Rikitea,PF,79.61,clear sky,-23.1203,-134.9692,Pension Maro'i
11,Hilo,US,71.6,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
12,Ahipara,NZ,70.72,clear sky,-35.1667,173.1667,Ahipara Holiday Park
14,Sokoni,TZ,80.6,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
18,Nhulunbuy,AU,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
25,Vila Velha,BR,73.99,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
30,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
31,New Norfolk,AU,90.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
34,Hithadhoo,MV,81.63,broken clouds,-0.6,73.0833,Scoop Guest House
35,Sambava,MG,77.38,scattered clouds,-14.2667,50.1667,Melrose
36,Tura,IN,71.24,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
37,Arraial Do Cabo,BR,74.89,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Meulaboh,ID,84.63,scattered clouds,4.1363,96.1285,Kost Pria
40,Porto Novo,BJ,77.0,haze,6.4965,2.6036,Tour Eiffel Hotel Benin
42,Sao Joao Da Barra,BR,74.08,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
44,Pisco,PE,71.6,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
55,Busselton,AU,73.0,scattered clouds,-33.65,115.3333,Observatory Guest House
65,Luganville,VU,83.95,light rain,-15.5333,167.1667,The Espiritu Hotel
67,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
68,Grand Gaube,MU,82.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
70,Hobart,AU,90.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
86,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
91,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
92,Cidreira,BR,75.65,clear sky,-30.1811,-50.2056,Hotel Castelo
93,Mareeba,AU,88.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
94,Buin,CL,73.0,clear sky,-33.7333,-70.75,Paihuen
95,Lima,PE,77.0,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
96,Teluknaga,ID,81.0,moderate rain,-6.0989,106.6381,Bale Ocasa hotel
97,Isangel,VU,82.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
98,Marang,MY,80.6,scattered clouds,5.2056,103.2059,DBarakah Homestay
102,Banjarmasin,ID,86.0,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
108,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
112,Beira,MZ,78.44,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
