City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Huarmey,PE,-10.0681,-78.1522,71.46,78,93,5.88,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,57.2,41,40,16.11,scattered clouds
2,Atuona,PF,-9.8,-139.0333,78.15,80,9,17.83,clear sky
3,Mataura,NZ,-46.1927,168.8643,60.01,81,99,21.0,overcast clouds
4,Barrow,US,71.2906,-156.7887,1.4,78,1,16.11,haze
5,Fairbanks,US,64.8378,-147.7164,21.0,78,75,3.22,broken clouds
6,Margate,GB,51.3813,1.3862,34.0,81,25,14.74,scattered clouds
7,Nova Olinda Do Norte,BR,-3.8881,-59.0942,73.71,95,28,1.83,scattered clouds
8,Kang,BW,-23.6752,22.7876,71.76,28,94,7.65,overcast clouds
9,Caravelas,BR,-17.7125,-39.2481,73.4,86,27,2.28,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,79.61,65,7,7.25,clear sky
11,Hilo,US,19.7297,-155.09,71.6,83,90,4.61,heavy intensity rain
12,Ahipara,NZ,-35.1667,173.1667,70.72,69,3,10.56,clear sky
13,Jamestown,US,42.097,-79.2353,17.6,86,90,5.75,light snow
14,Sokoni,TZ,-6.4333,39.55,80.6,83,40,5.75,scattered clouds
15,Port Alfred,ZA,-33.5906,26.891,66.0,96,94,5.99,light rain
16,Albany,US,42.6001,-73.9662,16.0,55,0,4.0,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,17.6,41,64,3.44,broken clouds
18,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,90,5.75,light rain
19,Murray Bridge,AU,-35.1167,139.2667,107.01,11,97,8.63,overcast clouds
20,Hamilton,US,39.1834,-84.5333,28.0,68,1,4.61,clear sky
21,Arona,ES,28.0996,-16.681,62.6,77,20,9.22,few clouds
22,Strezhevoy,RU,60.7333,77.5889,-52.6,65,20,4.47,few clouds
23,Aklavik,CA,68.2191,-135.0107,-18.4,76,87,9.22,overcast clouds
24,Lavrentiya,RU,65.5833,-171.0,-1.53,85,91,5.61,overcast clouds
25,Vila Velha,BR,-20.3297,-40.2925,73.99,94,40,3.44,scattered clouds
26,Bredasdorp,ZA,-34.5322,20.0403,57.2,82,32,6.91,scattered clouds
27,Yuci,CN,37.6803,112.7319,37.4,32,88,6.71,haze
28,Marsaxlokk,MT,35.8419,14.5431,57.0,76,20,10.36,few clouds
29,Guerrero Negro,MX,27.9769,-114.0611,57.65,77,5,9.42,clear sky
30,Saint-Pierre,RE,-21.3393,55.4781,80.6,65,90,3.44,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,90.0,20,100,1.99,overcast clouds
32,Karlstad,SE,59.3793,13.5036,32.0,100,90,3.44,overcast clouds
33,Chokurdakh,RU,70.6333,147.9167,-35.75,83,100,7.31,overcast clouds
34,Hithadhoo,MV,-0.6,73.0833,81.63,71,72,4.52,broken clouds
35,Sambava,MG,-14.2667,50.1667,77.38,84,25,4.74,scattered clouds
36,Tura,IN,25.5198,90.2201,71.24,41,85,2.1,overcast clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,74.89,88,65,14.61,broken clouds
38,Meulaboh,ID,4.1363,96.1285,84.63,66,44,2.51,scattered clouds
39,Nador,MA,35.174,-2.9287,62.6,45,0,8.05,clear sky
40,Porto Novo,BJ,6.4965,2.6036,77.0,73,94,5.7,haze
41,Hami,CN,42.8,93.45,24.69,83,94,9.46,overcast clouds
42,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.08,84,0,5.17,clear sky
43,Bluff,NZ,-46.6,168.3333,60.01,81,71,21.0,broken clouds
44,Pisco,PE,-13.7,-76.2167,71.6,78,20,8.05,few clouds
45,Abu Dhabi,AE,24.4667,54.3667,64.4,72,0,3.44,clear sky
46,Kaitangata,NZ,-46.2817,169.8464,62.01,62,93,18.01,overcast clouds
47,Holysov,CZ,49.5936,13.1013,32.0,96,90,2.3,light snow
48,Cape Town,ZA,-33.9258,18.4232,64.99,59,0,13.8,clear sky
49,Saint George,US,37.1041,-113.5841,44.01,70,90,4.61,overcast clouds
50,Provideniya,RU,64.3833,-173.3,6.69,83,1,2.3,clear sky
51,Torbay,CA,47.6666,-52.7314,25.0,80,75,19.57,broken clouds
52,Punta Arenas,CL,-53.15,-70.9167,51.8,62,0,19.57,light rain
53,Centralia,US,46.7162,-122.9543,37.4,100,90,4.25,overcast clouds
54,Alakurtti,RU,66.9672,30.3491,7.0,87,100,1.99,light snow
55,Busselton,AU,-33.65,115.3333,73.0,61,43,5.99,scattered clouds
56,Charcas,MX,23.1333,-101.1167,62.08,45,67,5.37,broken clouds
57,Coquimbo,CL,-29.9533,-71.3436,62.6,82,20,5.75,few clouds
58,Truth Or Consequences,US,33.1284,-107.2528,50.0,32,1,4.61,clear sky
59,Thompson,CA,55.7435,-97.8558,-14.8,76,90,9.22,light snow
60,Khatanga,RU,71.9667,102.5,-24.84,85,100,11.21,overcast clouds
61,Arman,RU,59.7,150.1667,-11.18,81,86,9.28,overcast clouds
62,Tukrah,LY,32.5341,20.5791,53.87,60,0,10.92,clear sky
63,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,97,83,11.01,broken clouds
64,Egvekinot,RU,66.3167,-179.1667,-11.47,85,0,1.54,clear sky
65,Luganville,VU,-15.5333,167.1667,83.95,75,100,3.38,light rain
66,Roma,US,43.2128,-75.4557,8.01,92,1,5.75,clear sky
67,Avarua,CK,-21.2078,-159.775,84.2,65,20,10.36,few clouds
68,Grand Gaube,MU,-20.0064,57.6608,82.99,72,4,3.0,clear sky
69,Castro,BR,-24.7911,-50.0119,63.05,96,100,5.97,light rain
70,Hobart,AU,-42.8794,147.3294,90.0,50,75,12.66,broken clouds
71,Fortuna,US,40.5982,-124.1573,46.99,87,90,5.75,overcast clouds
72,Lagoa,PT,39.05,-27.9833,61.47,91,97,28.54,overcast clouds
73,Berlevag,NO,70.8578,29.0864,19.02,94,98,24.85,light snow
74,Qaanaaq,GL,77.484,-69.3632,11.88,77,69,1.48,broken clouds
75,Vestmannaeyjar,IS,63.4427,-20.2734,31.44,88,94,20.36,overcast clouds
76,Kathmandu,NP,27.7167,85.3167,48.2,87,20,1.14,mist
